,address,categories,city,country,latitude,longitude,menus max amount,menus min amount,menus name,postal code,postalCode,province
106,111 Lawrence Rd,"Pizza Place,Italian Restaurant,Restaurants,Pizza Place and Italian Restaurant",Lawrence Township,US,40.24614006,-74.74381959,14.95,14.95,Trenton Tomato Pizza,Nino's Trattoria & Pizzeria,8648,Lawrenceville
107,111 Lawrence Rd,"Pizza Place,Italian Restaurant,Restaurants,Pizza Place and Italian Restaurant",Lawrence Township,US,40.24614006,-74.74381959,11.95,11.95,White Pizza,Nino's Trattoria & Pizzeria,8648,Lawrenceville
108,111 Lawrence Rd,"Pizza Place,Italian Restaurant,Restaurants,Pizza Place and Italian Restaurant",Lawrence Township,US,40.24614006,-74.74381959,11.95,11.95,White Pizza,Nino's Trattoria & Pizzeria,8648,Lawrenceville
109,44 N Brentwood,Restaurant,Saint Louis,US,38.649703,-90.341542,5.0,5.0,Cheese Pizza,Oceano Bistro - Clayton,63105,MO
110,2901 Watson Blvd,"Italian Restaurant, Pizza Place, and Bar,catering companies",Endicott,US,42.11067,-76.02803,9.5,9.5,Pizza,Brothers 2,13760,Crestview Heights
112,100 Charlton Rd,"American Restaurant, Pizza Place, and Gluten-free Restaurant,American Restaurant,Pizza Place,Gluten-free Restaurant",Sturbridge,US,42.12484282,-72.05860695,5.99,5.99,Half Pizzas,Uno Pizzeria & Grill - Sturbridge,1566,MA
115,100 Charlton Rd,"American Restaurant, Pizza Place, and Gluten-free Restaurant,American Restaurant,Pizza Place,Gluten-free Restaurant",Sturbridge,US,42.12484282,-72.05860695,2.99,2.99,Mini Cheese and Tomato Deep Dish Pizza,Uno Pizzeria & Grill - Sturbridge,1566,MA
116,100 Charlton Rd,"American Restaurant, Pizza Place, and Gluten-free Restaurant,American Restaurant,Pizza Place,Gluten-free Restaurant",Sturbridge,US,42.12484282,-72.05860695,2.99,2.99,Mini Cheese or Pepperoni Thin Crust Pizza,Uno Pizzeria & Grill - Sturbridge,1566,MA
117,100 Charlton Rd,"American Restaurant, Pizza Place, and Gluten-free Restaurant,American Restaurant,Pizza Place,Gluten-free Restaurant",Sturbridge,US,42.12484282,-72.05860695,8.99,8.99,Pizza of The Day,Uno Pizzeria & Grill - Sturbridge,1566,MA
118,100 Charlton Rd,"American Restaurant, Pizza Place, and Gluten-free Restaurant,American Restaurant,Pizza Place,Gluten-free Restaurant",Sturbridge,US,42.12484282,-72.05860695,2.99,2.99,Pizza Skins,Uno Pizzeria & Grill - Sturbridge,1566,MA
